*name,*admission_no,*guardian_id,relation_with_guardian,national_id,registration_no,*roll_no,*date_of_birth,*gender,phone,email,*username,*password,group,blood_group,religion,discount_id,present_address,permanent_address,second_language,health_condition,previous_school,father_name,father_phone,father_education,father_profession,father_designation,mother_name,mother_phone,mother_education,mother_profession,mother_designation,other_info
JADRES,10000,9,Mother,,,20210501,3/2/1999,Female,752338134,,jadres,jadres,,,,,,,,,,,,,,,,,,,,
ANGEL,10001,9,Mother,,,20210502,3/3/1999,Female,773976539,,angel,angel,,,,,,,,,,,,,,,,,,,,
BLESSING,10002,9,Mother,,,20210503,3/4/1999,Female,786170550,,blessing,blessing,,,,,,,,,,,,,,,,,,,,
ANGEL,10003,12,Father,,,20210504,3/5/1999,Female,752845190,,angel,angel,,,,,,,,,,,,,,,,,,,,
PRAISE,10004,12,Guardian,,,20210505,3/6/1999,Female,772881193,,praise,praise,,,,,,,,,,,,,,,,,,,,
IMMACULATE,10005,12,Mother,,,20210506,3/7/1999,Female,753007796,,immaculate,immaculate,,,,,,,,,,,,,,,,,,,,
CATHERINE,10006,12,Mother,,,20210507,3/8/1999,Female,759541186,,catherine,catherine,,,,,,,,,,,,,,,,,,,,
DEBORAH,10007,12,Mother,,,20210508,3/9/1999,Female,778544215,,deborah,deborah,,,,,,,,,,,,,,,,,,,,
CHRISTINE,10008,10,Father,,,20210509,3/10/1999,Female,758471408,,christine,christine,,,,,,,,,,,,,,,,,,,,
ANNET,10009,10,Father,,,20210510,3/11/1999,Female,709845372,,annet,annet,,,,,,,,,,,,,,,,,,,,
ELIZABETH,10010,10,Mother,,,20210511,3/12/1999,Female,758638495,,elizabeth,elizabeth,,,,,,,,,,,,,,,,,,,,
AMERIA,10011,10,Mother,,,20210512,3/13/1999,Female,784219271,,ameria,ameria,,,,,,,,,,,,,,,,,,,,
MARIA,10012,9,Mother,,,20210513,3/14/1999,Female,786154432,,maria,maria,,,,,,,,,,,,,,,,,,,,
PARVIN,10013,9,Mother,,,20210514,3/15/1999,Female,752655271,,parvin,parvin,,,,,,,,,,,,,,,,,,,,
LATIFAH,10014,9,Mother,,,20210515,3/16/1999,Male,772990906,,latifah,latifah,,,,,,,,,,,,,,,,,,,,
JACKLINE,10015,11,Father,,,20210516,3/17/1999,Male,708154478,,jackline,jackline,,,,,,,,,,,,,,,,,,,,
KEVIN,10016,11,,,,20210517,3/18/1999,Male,750734793,,kevin,kevin,,,,,,,,,,,,,,,,,,,,
JOSEPH,10017,11,,,,20210518,3/19/1999,Male,758074445,,joseph,joseph,,,,,,,,,,,,,,,,,,,,
NICHOLUS,10018,11,,,,20210519,3/20/1999,Male,705606479,,nicholus,nicholus,,,,,,,,,,,,,,,,,,,,
ERICK,10019,11,,,,20210520,3/21/1999,Male,706798454,,erick,erick,,,,,,,,,,,,,,,,,,,,
RONALD,10020,15,,,,20210521,3/22/1999,Male,757334026,,ronald,ronald,,,,,,,,,,,,,,,,,,,,
BRUNO,10021,15,,,,20210522,3/23/1999,Male,704660969,,bruno,bruno,,,,,,,,,,,,,,,,,,,,
RYMOND,10022,15,,,,20210523,3/24/1999,Male,782377743,,rymond,rymond,,,,,,,,,,,,,,,,,,,,
ANOLD,10023,15,,,,20210524,3/25/1999,Male,754577128,,anold,anold,,,,,,,,,,,,,,,,,,,,
DAVIN,10024,15,,,,20210525,3/26/1999,Male,705606479,,davin,davin,,,,,,,,,,,,,,,,,,,,
JOHN,10025,15,,,,20210526,3/27/1999,Male,774076894,,john,john,,,,,,,,,,,,,,,,,,,,
CALEB,10026,13,,,,20210527,3/28/1999,Male,705547318,,caleb,caleb,,,,,,,,,,,,,,,,,,,,
GEOFREY,10027,13,,,,20210528,3/29/1999,Male,784575447,,geofrey,geofrey,,,,,,,,,,,,,,,,,,,,
GEOFREY,10028,13,,,,20210529,3/30/1999,Male,,,geofrey,geofrey,,,,,,,,,,,,,,,,,,,,
DANIEL,10029,13,,,,20210530,3/31/1999,Male,753197873,,daniel,daniel,,,,,,,,,,,,,,,,,,,,
MATHEW,10030,13,,,,20210531,4/1/1999,Male,,,mathew,mathew,,,,,,,,,,,,,,,,,,,,
JOHN,10031,14,,,,20210532,4/2/1999,Male,704061892,,john,john,,,,,,,,,,,,,,,,,,,,
AKRAM,10032,14,,,,20210533,4/3/1999,Male,787986810,,akram,akram,,,,,,,,,,,,,,,,,,,,
